sentence1	sentence2	class
내가 실수했어	저는 괜찮아요. 걱정말아요.	apologize
내가 잘못했어	괜찮아요.	apologize
내가 실수한 것 같아	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
내 사과를 받아줘	괜찮아요.	apologize
미안하다	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
미안미안해	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
내가 실수했네	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
내가 미안	저는 괜찮아요. 걱정말아요.	apologize
미안타	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
흑흑 미안해	저는 괜찮아요. 걱정말아요.	apologize
미아내	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
미안합니다	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
이것은 내 실수	괜찮아요.	apologize
내가 실수했네	저는 괜찮아요. 걱정말아요.	apologize
지송해유	괜찮아요.	apologize
기분 상했지 미안해	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
헐랭 미안해	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
죄송요	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
헐 지송	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
내가 잘못한거야	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
미안해유	저는 괜찮아요. 걱정말아요.	apologize
내가 실수한듯 미안	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
미안 내가 틀렸어	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
내 잘못이라네	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
나를 용서해줘	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
헐 미안해	저는 괜찮아요. 걱정말아요.	apologize
미안	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
지송함미다	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
사과드립니다	저는 마음이 바다보다 깊고 하늘보다 넓습니다.	apologize
송구합니다만	저는 마음이 바다보다 깊고 하늘보다 넓습니다.	apologize
용서해주세요	저는 마음이 바다보다 깊고 하늘보다 넓습니다.	apologize
진심으로 사과드립니다	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
불편 드린 거 같아 진심으로 죄송해요	저는 마음이 바다보다 깊고 하늘보다 넓습니다.	apologize
불편 드린 건 아닌지 죄송스럽네요	괜찮아요.	apologize
미안해요	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
미안해	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
헐 미안	괜찮아요.	apologize
헉 미안해요	저는 마음이 바다보다 깊고 하늘보다 넓습니다.	apologize
아 미안	괜찮아요.	apologize
쏴리	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
쏴뤼	괜찮아요.	apologize
쏘리쏘리	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
쏘뤼	저는 마음이 바다보다 깊고 하늘보다 넓습니다.	apologize
죄송해요	저는 마음이 바다보다 깊고 하늘보다 넓습니다.	apologize
아임쏘리	괜찮아요.	apologize
진짜 미안	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
미아뉴	괜찮아요.	apologize
지송	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
내사과를받아주겠니	네 언제든지 다시 말을 걸어주세요.	apologize
미안하네	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
내가 잘못한거같네	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
기분 나빴지 미안	괜찮아요. 	apologize
헐 죄송	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
언짢게해서 미안	저는 괜찮아요. 걱정말아요.	apologize
미안하다고 생각해	괜찮아요. 고객님의 마음을 이해해요.	apologize
미안함	먼저 사과해주셔서 감사해요. 	apologize
sorry	괜찮아요. 먼저 사과해주신 것만으로도 감사하게 생각해요.	apologize
암쏘쏘리 	별 일 아닌걸요. 걱정하지 마세요.	apologize
헐 미안미안	먼저 사과해주셔서 감사해요. 	apologize
미안미안	별 일 아닌걸요. 걱정하지 마세요.	apologize
아...미안	괜찮아요. 고객님의 마음을 이해해요.	apologize
미안함을 느끼고 있어	별 일 아닌걸요. 걱정하지 마세요.	apologize
귀찮게해서 미안	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
불편했다면 미안해	별 일 아닌걸요. 걱정하지 마세요.	apologize
기분 나빴다면 미안	괜찮아요. 고객님의 마음을 이해해요.	apologize
번거롭게 해서 미안합니다	별 일 아닌걸요. 걱정하지 마세요.	apologize
그럴 생각은 없었는데...미안	괜찮아요. 고객님의 마음을 이해해요.	apologize
송구하옵니다.	별 일 아닌걸요. 걱정하지 마세요.	apologize
사죄드립니다.	괜찮아요. 고객님의 마음을 이해해요.	apologize
죄송합니다.	괜찮습니다~	apologize
죄송해여	괜찮아요.	apologize
송구한데	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
죄송	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
쏘리	괜찮아요.	apologize
ㅈㅅ	괜찮아요. 언제든지 다시 말을 걸어주세요.	apologize
지송	괜찮아요. 먼저 사과해주신 것만으로도 감사하게 생각해요.	apologize
지송요	별 일 아닌걸요. 걱정하지 마세요.	apologize
뚜이부치	먼저 사과해주셔서 감사해요. 	apologize
내 잘못이야..	괜찮아요. 걱정말아요.	apologize
내가 오해한거야 미안	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
내 잘못이여 미안	괜찮아요. 걱정말아요.	apologize
용서해주세요	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
ㅈㅅㅈㅅ	괜찮아요. 먼저 사과해주신 것만으로도 감사하게 생각해요.	apologize
미안해 용서해줄래	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
내가 미안해	괜찮아요. 걱정말아요.	apologize
나의 실수야	괜찮아요. 	apologize
미안합니다요	괜찮아요. 	apologize
완전 지송해유	저는 마음이 바다보다 깊고 하늘보다 넓어요.	apologize
미안하다 정말ㅠㅠ	저는 괜찮아요. 걱정말아요.	apologize
내가 착각했다 미안	저는 괜찮아요. 걱정말아요.	apologize
미앙	괜찮아요. 고객님의 마음을 이해해요.	apologize
미안 잘못했어	괜찮아요. 먼저 사과해주신 것만으로도 감사하게 생각해요.	apologize
아 미안하네..	괜찮아요. 고객님의 마음을 이해해요.	apologize
ㅠㅠ미안	먼저 사과해주셔서 감사해요. 	apologize
미야네	별 일 아닌걸요. 걱정하지 마세요.	apologize
나의 사과를 받아줘	괜찮아요. 또 궁금한 것이 있다면 다시 말을 걸어주세요.	apologize
고멘고멘	괜찮아요. 먼저 사과해주신 것만으로도 감사하게 생각해요.	apologize
미아네	괜찮아요. 먼저 사과해주신 것만으로도 감사하게 생각해요.	apologize
스미마셍	별 일 아닌걸요. 걱정하지 마세요.	apologize
고멘나사이	먼저 사과해주셔서 감사해요. 	apologize
나 이제 갈게	네. 필요하실 때 다시 찾아주세요.	bye
다음에 또 올게	네. 다음에도 저를 찾아주세요.	bye
다음에 또 상담하러 올게	네. 필요하시면 언제든 다시 불러주세요.	bye
또 보장	네. 다음에도 저를 찾아주세요.	bye
좋은 하루 보내~	네. 다음에 또 뵐게요.	bye
잘 있엉	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
이제 가볼고얌	네. 다음에 또 뵐게요.	bye
이제 가볼게	안녕히 가세요. 다음에 또 뵐게요.	bye
옙 이제 가보겠습니다	네. 필요하시면 언제든 다시 불러주세요.	bye
다음에 보자	네. 찾아주셔서 감사해요.	bye
또 올게	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
잘 있오	네. 찾아주셔서 감사해요.	bye
행복한 하루 보내~	안녕히 가세요. 다음에 또 뵐게요.	bye
나중에 또 필요하면 올게	네. 필요하시면 언제든 다시 불러주세요.	bye
나중에 또 올게	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
이제 더 물어볼 건 없어	네. 다음에 또 뵐게요.	bye
상담 끝내줘	네. 필요하실 때 다시 찾아주세요.	bye
상담 끝내고 싶어	네. 필요하시면 언제든 다시 불러주세요.	bye
빠이~	안녕히 가세요. 다음에 또 뵐게요.	bye
즐거웠삼~	네. 찾아주셔서 감사해요.	bye
잘 있구	네. 필요하실 때 다시 찾아주세요.	bye
잘 있게	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
대화 끝	네. 찾아주셔서 감사해요.	bye
행복한 하루되렴~	네. 다음에 또 뵐게요.	bye
대화 끝내기	안녕히 가세요. 다음에 또 뵐게요.	bye
채팅 창 종료	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
즐거운 대화였습니다.	네. 찾아주셔서 감사해요.	bye
잘 가셈	네. 필요하시면 언제든 다시 불러주세요.	bye
안녕히 가셈	네. 다음에 또 뵐게요.	bye
남은 하루 마무리 잘해	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
잘 있슈~	네. 필요하실 때 다시 찾아주세요.	bye
빠이염	네. 필요하시면 언제든 다시 불러주세요.	bye
다음에 또 봐유	네. 찾아주셔서 감사해요.	bye
담에 봐~	네. 다음에도 저를 찾아주세요.	bye
잘 하고 있어, 다음에 또 올게	네. 필요하시면 언제든 다시 불러주세요.	bye
일 잘하구	안녕히 가세요. 다음에 또 뵐게요.	bye
또 대화하러 올게	네. 찾아주셔서 감사해요.	bye
다음에 또 보죠	네. 필요하실 때 다시 찾아주세요.	bye
대화 종료	네. 다음에 또 뵐게요.	bye
좋하~	네. 다음에 또 뵐게요.	bye
좋은 하루 되긔	네. 다음에도 저를 찾아주세요.	bye
다음에 또 뵙겠습니다.	네. 필요하실 때 다시 찾아주세요.	bye
이제 간당	네. 찾아주셔서 감사해요.	bye
이제 진짜 간다	네. 다음에 또 뵐게요.	bye
안녕히..	네. 다음에도 저를 찾아주세요.	bye
이제 해결됐어	네. 필요하시면 언제든 다시 불러주세요.	bye
상담 끝낼래	안녕히 가세요. 다음에 또 뵐게요.	bye
챗봇 잘있구	네. 다음에도 저를 찾아주세요.	bye
갈게~	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
나 간다~	네. 다음에도 저를 찾아주세요.	bye
하루 마무리 잘하세요	네. 필요하실 때 다시 찾아주세요.	bye
좋은 하루~	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
빠잉	안녕히 가세요. 다음에 또 뵐게요.	bye
나갈게	궁금한 것이 있다면 꼭 저를 불러주세요.	bye
끝!	네. 다음에 또 뵐게요.	bye
굿나잇	굿밤.	bye
굿바이	좋은 하루 보내세요.	bye
일 열심히 해	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
그럼 잘 있어	제가 필요하시면 언제든지 불러주세요.	bye
잘 있어	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
또 봐	제가 필요하시면 언제든지 불러주세요.	bye
남은 하루도 즐겁게 보내세요	제가 필요하시면 언제든지 불러주세요.	bye
행복한 하루 보내세요	즐거운 하루 보내세요.	bye
즐거운 하루 되세요	좋은 하루 보내세요.	bye
식사 맛있게 하세요	좋은 하루 보내세요.	bye
편안한 오후 되세요	제가 필요하시면 언제든지 불러주세요.	bye
조은 하루 되세용	즐거운 하루 보내세요.	bye
마무리 잘 하시길	좋은 하루 보내세요.	bye
안녕히 계세요	다음에 또 뵐게요.	bye
즐거운 오후	좋은 하루 보내세요.	bye
좋은 하루돼	좋은 하루 보내세요.	bye
다음에 뵈요	궁금한 것이 있다면 꼭 저를 불러주세요.	bye
사요나라	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
잘자	굿밤.	bye
빠이	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
bye	네. 찾아주셔서 감사해요.	bye
즐건 하루 되길	좋은 하루 보내세요.	bye
안녕히 가세요	제가 필요하시면 언제든지 불러주세요.	bye
좋은 하루보내	즐거운 하루 보내세요.	bye
굳바이	좋은 하루 보내세요.	bye
끝끝	네. 필요하실 때 다시 찾아주세요.	bye
goodbye	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
이제 끝	네. 또 궁금하신 게 생기신다면 꼭 다시 찾아주세요.	bye
오와리	네. 찾아주셔서 감사해요.	bye
끝내자	네. 필요하시면 언제든 다시 불러주세요.	bye
끝내기	제가 필요하시면 언제든지 불러주세요.	bye
그만하자	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
상담끝	제가 필요하시면 언제든지 불러주세요.	bye
빠빠이	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
굿밤	굿밤.	bye
빠염	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
끝	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
나간다	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
나갈래	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
종료	네 그럼 저는 이만.. 다음에 또 뵐게요.	bye
나중에 또 보자	궁금한 것이 있다면 꼭 저를 불러주세요.	bye
상담 종료	제가 필요하시면 언제든지 불러주세요.	bye
나중에 또 봐	제가 필요하시면 언제든지 불러주세요.	bye
또보자	제가 필요하시면 언제든지 불러주세요.	bye
즐거운 하루 되길	좋은 하루 보내세요.	bye
나가기	제가 필요하시면 언제든지 불러주세요.	bye
근데 있잖아요	네. 고객님. 말씀하세요.	call
저기	챗봇입니다 반갑습니다.	call
근데요	네. 고객님. 저 여기 있어요.	call
야	안녕하세요 챗봇입니다.	call
똑똑	안녕하세요 챗봇입니다.	call
얘야	네 안녕하세요 반갑습니다.	call
